Match Number,Round Number,Date,Location,Home Team,Away Team,Result
6,1,11/08/2023 15:00,Stade de Nice,OGC Nice,LOSC Lille,1 - 1
3,1,12/08/2023 11:00,Stade Vélodrome,Olympique de Marseille,Stade de Reims,2 - 1
7,1,12/08/2023 15:00,Parc des Princes,Paris Saint-Germain,FC Lorient,0 - 0
1,1,13/08/2023 07:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,3 - 2
2,1,13/08/2023 09:00,Stade Gabriel Montpied,Clermont Foot 63,AS Monaco,2 - 4
4,1,13/08/2023 09:00,Stade de la Mosson,Montpellier Hérault SC,Havre AC,2 - 2
5,1,13/08/2023 09:00,Stade de la Beaujoire,FC Nantes,Toulouse FC,1 - 2
8,1,13/08/2023 11:05,Roazhon Park,Stade Rennais FC,FC Metz,5 - 1
9,1,13/08/2023 14:45,Stade de la Meinau,RC Strasbourg Alsace,Olympique Lyonnais,2 - 1
15,2,18/08/2023 15:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,2 - 2
14,2,19/08/2023 13:00,Parc Olympique Lyonnais,Olympique Lyonnais,Montpellier Hérault SC,1 - 4
18,2,19/08/2023 15:00,Stadium de Toulouse,Toulouse FC,Paris Saint-Germain,1 - 1
12,2,20/08/2023 07:00,Stade Pierre-Mauroy,LOSC Lille,FC Nantes,2 - 0
10,2,20/08/2023 09:00,Stade Océane,Havre AC,Stade Brestois 29,1 - 2
13,2,20/08/2023 09:00,Stade du Moustoir,FC Lorient,OGC Nice,1 - 1
17,2,20/08/2023 09:00,Stade Auguste Delaune,Stade de Reims,Clermont Foot 63,2 - 0
16,2,20/08/2023 13:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,3 - 0
11,2,20/08/2023 14:45,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,1 - 1
23,3,25/08/2023 15:00,Stade de la Beaujoire,FC Nantes,AS Monaco,3 - 3
21,3,26/08/2023 11:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,2 - 0
25,3,26/08/2023 15:00,Parc des Princes,Paris Saint-Germain,RC Lens,3 - 1
26,3,27/08/2023 07:00,Roazhon Park,Stade Rennais FC,Havre AC,2 - 2
19,3,27/08/2023 09:00,Stade Gabriel Montpied,Clermont Foot 63,FC Metz,0 - 1
22,3,27/08/2023 09:00,Stade de la Mosson,Montpellier Hérault SC,Stade de Reims,1 - 3
27,3,27/08/2023 09:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,2 - 0
20,3,27/08/2023 11:05,Stade du Moustoir,FC Lorient,LOSC Lille,4 - 1
24,3,27/08/2023 14:45,Stade de Nice,OGC Nice,Olympique Lyonnais,0 - 0
33,4,01/09/2023 15:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,1 - 1
